epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2246.68,0.86189,0.52171,0.95383,0.77238,0.75199,0.74992,0.46363,1.04618,0.54079,0.95598,0.000615781,0.000615781,0.000615781
43,2303.78,0.81537,0.50167,0.93909,0.74736,0.77221,0.77009,0.51071,0.81109,0.48279,0.89093,0.000600313,0.000600313,0.000600313
44,2357.37,0.8557,0.5178,0.95704,0.77892,0.7511,0.78116,0.51485,0.7505,0.46951,0.86998,0.000584844,0.000584844,0.000584844
45,2408.87,0.81461,0.49041,0.93861,0.83036,0.75632,0.78239,0.50573,0.78884,0.45837,0.87067,0.000569375,0.000569375,0.000569375
46,2460.07,0.80158,0.48723,0.93549,0.77103,0.77296,0.7755,0.51149,0.76913,0.47192,0.87131,0.000553906,0.000553906,0.000553906
47,2510.06,0.78701,0.47738,0.92885,0.77974,0.75227,0.78108,0.50514,0.82077,0.47532,0.88736,0.000538438,0.000538438,0.000538438
48,2561.13,0.78192,0.48868,0.93536,0.72088,0.77092,0.777,0.50437,0.80711,0.5018,0.87564,0.000522969,0.000522969,0.000522969
49,2614.23,0.78063,0.47792,0.93456,0.73881,0.77357,0.77981,0.50427,0.82429,0.47395,0.88246,0.0005075,0.0005075,0.0005075
50,2667.21,0.77349,0.47252,0.92253,0.73265,0.82957,0.77826,0.49367,0.79485,0.47243,0.88166,0.000492031,0.000492031,0.000492031
51,2725.02,0.76296,0.46897,0.91309,0.71431,0.75659,0.76281,0.49314,0.81828,0.47627,0.89522,0.000476562,0.000476562,0.000476562
52,2780.33,0.77535,0.48272,0.9409,0.74014,0.7734,0.76406,0.52499,0.74118,0.4538,0.85928,0.000461094,0.000461094,0.000461094
53,2836.13,0.75984,0.4768,0.91719,0.79015,0.76097,0.7851,0.53332,0.75123,0.45219,0.87038,0.000445625,0.000445625,0.000445625
54,2887.4,0.76501,0.46518,0.91718,0.76912,0.78126,0.75841,0.50311,0.74128,0.45486,0.87239,0.000430156,0.000430156,0.000430156
55,2940,0.77257,0.46083,0.93206,0.79092,0.79266,0.75883,0.49754,0.7802,0.47229,0.88697,0.000414688,0.000414688,0.000414688
56,2993.77,0.75254,0.45496,0.92083,0.7752,0.77559,0.77298,0.5134,0.71358,0.45109,0.86182,0.000399219,0.000399219,0.000399219
57,3044.67,0.75076,0.45024,0.92056,0.78441,0.79524,0.76329,0.49075,0.81279,0.46404,0.88408,0.00038375,0.00038375,0.00038375
58,3099.92,0.74727,0.46524,0.92024,0.74309,0.79327,0.79343,0.5064,0.80137,0.466,0.88462,0.000368281,0.000368281,0.000368281
59,3152.7,0.7427,0.45018,0.92331,0.78063,0.78538,0.78493,0.51366,0.75592,0.45736,0.86789,0.000352812,0.000352812,0.000352812
60,3204.82,0.70917,0.42883,0.90488,0.75763,0.79508,0.76464,0.50003,0.787,0.45359,0.87691,0.000337344,0.000337344,0.000337344
61,3255.07,0.71699,0.4598,0.90504,0.74872,0.75409,0.76715,0.49372,0.88717,0.48008,0.89491,0.000321875,0.000321875,0.000321875
62,3312.27,0.69364,0.43469,0.89832,0.75762,0.7855,0.77332,0.50007,0.7644,0.44312,0.87009,0.000306406,0.000306406,0.000306406
63,3367.28,0.7268,0.44471,0.91162,0.715,0.78051,0.77249,0.51702,0.68355,0.43143,0.84918,0.000290937,0.000290937,0.000290937
64,3423.84,0.72159,0.4421,0.90634,0.78556,0.79816,0.79374,0.53839,0.71693,0.42611,0.86236,0.000275469,0.000275469,0.000275469
65,3474.22,0.70249,0.42757,0.89604,0.75676,0.81891,0.77911,0.51654,0.74988,0.43249,0.86938,0.00026,0.00026,0.00026
66,3528.1,0.69694,0.41979,0.9018,0.78876,0.80707,0.78435,0.52193,0.74444,0.4307,0.86291,0.000244531,0.000244531,0.000244531
67,3580.42,0.68505,0.40332,0.89725,0.77714,0.77474,0.77933,0.52334,0.67547,0.4103,0.84947,0.000229063,0.000229063,0.000229063
68,3631.43,0.68756,0.42155,0.89895,0.77323,0.81459,0.78711,0.52863,0.66297,0.41592,0.84735,0.000213594,0.000213594,0.000213594
69,3684.35,0.67647,0.40787,0.89113,0.7838,0.80651,0.78585,0.53704,0.66016,0.39938,0.84852,0.000198125,0.000198125,0.000198125
70,3735.69,0.68909,0.40808,0.89926,0.81656,0.81158,0.80463,0.53298,0.74966,0.41608,0.86625,0.000182656,0.000182656,0.000182656
71,3802,0.6889,0.38225,0.87766,0.80396,0.80079,0.78213,0.53478,0.6917,0.41853,0.85514,0.000167188,0.000167188,0.000167188
72,3860.08,0.66472,0.36369,0.8659,0.7604,0.7955,0.77058,0.52262,0.71023,0.42394,0.85392,0.000151719,0.000151719,0.000151719
73,3917.74,0.64827,0.36217,0.86007,0.85867,0.76179,0.78108,0.52708,0.69821,0.42023,0.8502,0.00013625,0.00013625,0.00013625
74,3975.33,0.65293,0.36183,0.86601,0.82373,0.74534,0.78416,0.53601,0.65521,0.41115,0.84258,0.000120781,0.000120781,0.000120781
75,4029.36,0.64128,0.35922,0.85581,0.80359,0.79242,0.78684,0.5347,0.66047,0.41164,0.84484,0.000105312,0.000105312,0.000105312
76,4081.38,0.63485,0.34912,0.86055,0.78561,0.74296,0.76502,0.54147,0.64332,0.41162,0.84145,8.98437e-05,8.98437e-05,8.98437e-05
77,4136.49,0.64484,0.35585,0.8699,0.78572,0.75552,0.77065,0.54229,0.649,0.41147,0.84504,7.4375e-05,7.4375e-05,7.4375e-05
78,4193.6,0.6292,0.34953,0.86414,0.82547,0.76281,0.79811,0.54698,0.64901,0.4053,0.8448,5.89062e-05,5.89062e-05,5.89062e-05
79,4251.79,0.62214,0.34451,0.86225,0.80553,0.75119,0.78367,0.544,0.64372,0.40292,0.84258,4.34375e-05,4.34375e-05,4.34375e-05
80,4307.6,0.61209,0.34074,0.85165,0.80723,0.75119,0.7775,0.53745,0.65207,0.40623,0.8444,2.79687e-05,2.79687e-05,2.79687e-05
